waveform_index,scheduled_s,completed_s,late_s,points_returned,points_saved
200,73945.82568965301,73999.419191328,53.339994199996,10000,2500
201,73945.825789653,73999.735860819,53.59341669399873,10000,2500
202,73945.825889653,73999.994110651,53.90997709899966,10000,2500
203,73945.825989653,74000.336475155,54.16813399498642,10000,2500
204,73945.826089653,74000.591116021,54.51039817000856,10000,2500
205,73945.826189653,74000.797944024,54.764939055996365,10000,2500
206,73945.826289653,74001.078092932,54.97166718399967,10000,2500
207,73945.826389653,74001.452055019,55.25170953500492,10000,2500
208,73945.826489653,74001.667243547,55.62557153699163,10000,2500
209,73945.826589653,74001.91344746,55.84065957699204,10000,2500
210,73945.826689653,74002.201766161,56.086770535999676,10000,2500
211,73945.826789653,74002.413377526,56.37498988700099,10000,2500
212,73945.826889653,74002.62863439,56.586500680990866,10000,2500
213,73945.826989653,74002.880226014,56.80165888099873,10000,2500
214,73945.827089653,74003.12888501,57.053149868996115,10000,2500
215,73945.827189653,74003.352929135,57.30170139799884,10000,2500
216,73945.827289653,74003.570124113,57.525653114003944,10000,2500
217,73945.827389653,74003.960303763,57.74274066199723,10000,2500
218,73945.827489653,74004.234706403,58.13282763998723,10000,2500
219,73945.82758965301,74004.466896174,58.40712845798407,10000,2500
220,73945.827689653,74004.679723452,58.63922082200588,10000,2500
221,73945.827789653,74004.986166946,58.85194617600064,10000,2500
222,73945.82788965301,74005.297074271,59.158290257983026,10000,2500
223,73945.827989653,74005.52417953,59.469090853002854,10000,2500
224,73945.828089653,74005.823417037,59.69610256300075,10000,2500
225,73945.82818965301,74006.087484649,59.99524086799647,10000,2500
226,73945.828289653,74006.44487999,60.25920695299283,10000,2500
227,73945.828389653,74006.815149344,60.61650270198879,10000,2500
228,73945.82848965301,74007.028867745,60.98667256098997,10000,2500
229,73945.828589653,74007.30238312,61.20029113099736,10000,2500
230,73945.828689653,74007.567922905,61.47370638100256,10000,2500
231,73945.82878965301,74007.776234156,61.7391401349887,10000,2500
232,73945.828889653,74008.043820302,61.94735701699392,10000,2500
233,73945.828989653,74008.302127688,62.21484421700006,10000,2500
234,73945.82908965301,74008.51175396,62.47304448999057,10000,2500
235,73945.829189653,74008.754706558,62.68257714599895,10000,2500
236,73945.829289653,74008.955623939,62.92542276199674,10000,2500
237,73945.82938965301,74009.16629892,63.12624069998856,10000,2500
238,73945.829489653,74009.469510233,63.336815009999555,10000,2500
239,73945.829589653,74009.705547288,63.63993291200313,10000,2500
240,73945.82968965301,74009.974540215,63.87587234299281,10000,2500
241,73945.829789653,74010.202727433,64.14476352199563,10000,2500
242,73945.829889653,74010.451343545,64.37285132000397,10000,2500
243,73945.82998965301,74010.669531512,64.62136644798738,10000,2500
244,73945.830089653,74011.039682164,64.83945640300226,10000,2500
245,73945.830189653,74011.25600285,65.20949855999788,10000,2500
246,73945.83028965301,74011.573007583,65.42571878699528,10000,2500
247,73945.830389653,74011.791143385,65.74263105299906,10000,2500
248,73945.830489653,74012.202803319,65.96066936399438,10000,2500
249,73945.83058965301,74012.883517696,66.3722266429977,10000,2500
250,73945.830689653,74013.175044959,67.05284082599974,10000,2500
251,73945.830789653,74013.410737388,67.34426920900296,10000,2500
252,73945.830889653,74013.728939079,67.57986123299634,10000,2500
253,73945.830989653,74013.936294926,67.89796312199906,10000,2500
254,73945.831089653,74014.165334553,68.10521057799633,10000,2500
255,73945.831189653,74014.398663934,68.33415822198731,10000,2500
256,73945.831289653,74014.708326081,68.56738608599699,10000,2500
257,73945.831389653,74014.934287712,68.87694304899196,10000,2500
258,73945.831489653,74015.220892136,69.10280413398868,10000,2500
259,73945.831589653,74015.498674407,69.38930828199955,10000,2500
260,73945.831689653,74015.728364754,69.66699789799168,10000,2500
261,73945.831789653,74016.095587565,69.89658812400012,10000,2500
262,73945.831889653,74016.3074564,70.2637042790011,10000,2500
263,73945.831989653,74016.609811957,70.4754731139983,10000,2500
264,73945.832089653,74016.827295715,70.77772795000055,10000,2500
265,73945.83218965301,74017.083624954,70.99511900199286,10000,2500
266,73945.832289653,74017.504728489,71.25135119799234,10000,2500
267,73945.832389653,74017.713794712,71.6723461609945,10000,2500
268,73945.83248965301,74017.934193092,71.8813109099865,10000,2500
269,73945.832589653,74018.178842502,72.10161631400115,10000,2500
270,73945.832689653,74018.411390532,72.34616145899054,10000,2500
271,73945.83278965301,74018.696658684,72.57861409298494,10000,2500
272,73945.832889653,74018.921800463,72.86377511300088,10000,2500
273,73945.832989653,74019.178848098,73.08882428499055,10000,2500
274,73945.83308965301,74019.443168992,73.34577063798497,10000,2500
275,73945.833189653,74019.692218628,73.60998550399381,10000,2500
276,73945.833289653,74019.92164608,73.85893473499164,10000,2500
277,73945.83338965301,74020.133198829,74.08826810198661,10000,2500
278,73945.833489653,74020.354762786,74.29972237000766,10000,2500
